t; x; y; theta
43607248.102997; 0.00; 0.00; 0.00
43622968.536999; 0.00; 0.00; 0.00
43638554.067997; 0.00; 0.00; 0.00
43656174.042995; 0.00; 0.00; 0.00
43671432.328999; 0.00; 0.00; 0.00
43688900.807999; 0.00; 0.00; 0.00
43703883.946995; 0.00; 0.00; 0.00
43719532.967999; 0.00; 0.00; 0.00
43734559.778996; 0.00; 0.00; 0.00
43752540.742001; 0.00; 0.00; 0.00
43768048.686996; 0.00; 0.00; 0.00
43782385.891998; 0.00; 0.00; 0.00
43801348.619999; 0.00; 0.00; 0.00
43815956.663998; 0.00; 0.00; 0.00
43831213.656998; 0.00; 0.00; 0.00
43846217.734997; 0.00; 0.00; 0.00
43864898.052998; 0.00; 0.00; 0.00
43880213.796997; 0.00; 0.00; 0.00
43896136.741997; 0.00; 0.00; 0.00
43911353.229000; 0.00; 0.00; 0.00
43928807.281998; 0.00; 0.00; 0.00
43944124.999996; 0.00; 0.00; 0.00
43959945.982998; 0.00; 0.00; 0.00
43975240.636997; 0.00; 0.00; 0.00
43991005.105000; 0.00; 0.00; 0.00
44006558.835995; 0.00; 0.00; 0.00
44024719.275997; 0.00; 0.00; 0.00
44039997.139000; 0.00; 0.00; 0.00
44055661.998997; 0.00; 0.00; 0.00
44071782.104996; 0.00; 0.00; 0.00
44086052.132999; 0.00; 0.00; 0.00
44104109.369995; 0.00; 0.00; 0.00
44119156.909996; 0.00; 0.00; 0.00
44134256.997997; 0.00; 0.00; 0.00
44152484.894997; 0.00; 0.00; 0.00
44167440.062000; 0.00; 0.00; 0.00
44182851.555996; 0.00; 0.00; 0.00
44198243.332996; 0.00; 0.00; 0.00
44216580.394997; 0.00; 0.00; 0.00
44231645.487999; 0.00; 0.00; 0.00
44246810.547997; 0.00; 0.00; 0.00
44262415.325996; 0.00; 0.00; 0.00
44281198.124996; 0.00; 0.00; 0.00
44296751.916996; 0.00; 0.00; 0.00
44311231.549000; 0.00; 0.00; 0.00
44326086.146996; 0.00; 0.00; 0.00
44345079.121998; 0.00; 0.00; 0.00
44360883.823997; 0.00; 0.00; 0.00
44377416.835999; 0.00; 0.00; 0.00
44393115.869999; 0.00; 0.00; 0.00
44408452.903996; 0.00; 0.00; 0.00
44424349.890999; 0.00; 0.00; 0.00
44440107.194996; 0.00; 0.00; 0.00
44455448.446999; 0.00; 0.00; 0.00
44471137.361996; 0.00; 0.00; 0.00
44487261.484997; 0.00; 0.00; 0.00
44503486.327995; 0.00; 0.00; 0.00
44518766.604996; 0.00; 0.00; 0.00
44535338.409996; 0.00; 0.00; 0.00
44551504.190994; 0.00; 0.00; 0.00
44567304.214996; 0.00; 0.00; 0.00
44583129.045998; 0.00; 0.00; 0.00
44598540.940998; 0.00; 0.00; 0.00
44614256.416000; 0.00; 0.00; 0.00
44630501.375999; 0.00; 0.00; 0.00
44646886.399998; 0.00; 0.00; 0.00
44663403.190998; 0.00; 0.00; 0.00
44678669.271996; 0.00; 0.00; 0.00
44696571.636997; 0.00; 0.00; 0.00
44711964.486000; 0.01; 0.00; 0.00
44726861.572998; 0.01; 0.00; 0.00
44744665.462997; 0.02; 0.00; 0.00
44760135.796997; 0.02; 0.00; 0.00
44774821.256996; 0.03; 0.00; 0.00
44792512.554996; 0.03; 0.00; 0.00
44806983.100998; 0.03; 0.00; 0.00
44822387.260998; 0.04; 0.00; 0.00
44840310.294998; 0.04; 0.00; 0.00
44854808.492996; 0.05; 0.00; 0.00
44873001.533997; 0.05; 0.00; 0.00
44887619.636997; 0.06; 0.00; 0.00
44902894.844997; 0.06; 0.00; 0.00
44918316.266998; 0.06; 0.00; 0.00
44935898.169998; 0.07; 0.00; 0.00
44950167.467999; 0.07; 0.00; 0.00
44968157.968994; 0.08; 0.00; 0.00
44982737.969997; 0.08; 0.00; 0.00
45000814.763000; 0.09; 0.00; 0.00
45015226.357998; 0.09; 0.00; 0.00
45030490.844997; 0.09; 0.00; 0.00
45047022.715000; 0.10; 0.00; 0.00
45062672.085999; 0.10; 0.00; 0.00
45080755.380997; 0.11; 0.00; 0.00
45095126.439999; 0.11; 0.00; 0.00
45110187.986000; 0.11; 0.00; 0.00
45128039.394997; 0.12; 0.00; 0.00
45142668.067997; 0.12; 0.00; 0.00
45160847.573997; 0.13; 0.00; 0.00
45175331.754997; 0.13; 0.00; 0.00
45190601.341995; 0.14; 0.00; 0.00
45208813.480000; 0.14; 0.00; 0.00
45223321.445999; 0.14; 0.00; 0.00
45238900.303997; 0.15; 0.00; 0.00
45257284.724998; 0.15; 0.00; 0.00
45271152.196999; 0.16; 0.00; 0.00
45286242.677998; 0.16; 0.00; 0.00
45304105.668999; 0.17; 0.00; 0.00
45318483.419994; 0.17; 0.00; 0.00
45336025.738998; 0.17; 0.00; 0.00
45350423.877995; 0.18; 0.00; 0.00
45368548.470997; 0.18; 0.00; 0.00
45383103.575996; 0.19; 0.00; 0.00
45400927.442997; 0.19; 0.00; 0.00
45415356.260998; 0.19; 0.00; 0.00
45430175.111000; 0.20; 0.00; 0.00
45448773.453999; 0.20; 0.00; 0.00
45464069.760998; 0.21; 0.00; 0.00
45479065.844997; 0.21; 0.00; 0.00
45497465.233997; 0.22; 0.00; 0.00
45512667.504997; 0.22; 0.00; 0.00
45527372.620998; 0.22; 0.00; 0.00
45542688.604996; 0.23; 0.00; 0.00
45560487.195999; 0.23; 0.00; 0.00
45574809.131996; 0.24; 0.00; 0.00
45590265.379997; 0.24; 0.00; 0.00
45608255.730000; 0.25; 0.00; 0.00
45622617.410995; 0.25; 0.00; 0.00
45640766.710999; 0.25; 0.00; 0.00
45655174.247997; 0.26; 0.00; 0.00
45670562.778000; 0.26; 0.00; 0.00
45687572.035000; 0.27; 0.00; 0.00
45702684.135998; 0.27; 0.00; 0.00
45720217.086994; 0.27; 0.00; 0.00
45734996.733997; 0.28; 0.00; 0.00
45750148.619999; 0.28; 0.00; 0.00
45768044.602997; 0.29; 0.00; 0.00
45782613.263000; 0.29; 0.00; 0.00
45800728.197998; 0.30; 0.00; 0.00
45816425.468998; 0.30; 0.00; 0.00
45832010.889996; 0.30; 0.00; 0.00
45847299.441998; 0.31; 0.00; 0.00
45862825.571999; 0.31; 0.00; 0.00
