t; x; y; theta
20421972.915001; 0.00; 0.00; 0.00
20436448.931000; 0.00; 0.00; 0.00
20453339.594000; 0.00; 0.00; 0.00
20470270.584000; 0.00; 0.00; 0.00
20484792.266001; 0.00; 0.00; 0.00
20501757.419001; 0.00; 0.00; 0.00
20518682.809000; 0.00; 0.00; 0.00
20533351.657000; 0.00; 0.00; 0.00
20550267.268000; 0.00; 0.00; 0.00
20567213.396000; 0.00; 0.00; 0.00
20581000.466999; 0.00; 0.00; 0.00
20597395.729000; 0.00; 0.00; 0.00
20614335.785999; 0.00; 0.00; 0.00
20628817.351999; 0.00; 0.00; 0.00
20645783.337999; 0.00; 0.00; 0.00
20662732.150999; 0.00; 0.00; 0.00
20677142.163000; 0.00; 0.00; 0.00
20694080.306000; 0.00; 0.00; 0.00
20708644.738001; 0.00; 0.00; 0.00
20725561.820999; 0.00; 0.00; 0.00
20742500.295000; 0.00; 0.00; 0.00
20756480.618999; 0.00; 0.00; 0.00
20773391.251001; 0.00; 0.00; 0.00
20790326.358000; 0.00; 0.00; 0.00
20807321.998999; 0.00; 0.00; 0.00
20821082.820999; 0.00; 0.00; 0.00
20838045.118999; 0.00; 0.00; 0.00
20852682.918999; 0.00; 0.00; 0.00
20869669.743999; 0.00; 0.00; 0.00
20886851.094000; 0.00; 0.00; 0.00
20901514.712000; 0.00; 0.00; 0.00
20918728.092999; 0.00; 0.00; 0.00
20932497.500000; 0.00; 0.00; 0.00
20949447.785999; 0.00; 0.00; 0.00
20966386.190001; 0.00; 0.00; 0.00
20980936.726000; 0.00; 0.00; 0.00
20997856.785000; 0.00; 0.00; 0.00
21014788.045000; 0.00; 0.00; 0.00
21029428.910999; 0.00; 0.00; 0.00
21046373.556000; 0.00; 0.00; 0.00
21061025.521999; 0.00; 0.00; 0.00
21078042.974001; 0.00; 0.00; 0.00
21094971.939999; 0.00; 0.00; 0.00
21108760.473999; 0.00; 0.00; 0.00
21125854.970999; 0.00; 0.00; 0.00
21143115.559999; 0.00; 0.00; 0.00
21156926.556000; 0.00; 0.00; 0.00
21173850.311998; 0.00; 0.00; 0.00
21190787.754000; 0.00; 0.00; 0.00
21205137.521999; 0.00; 0.00; 0.00
21222079.813000; 0.00; 0.00; 0.00
21239070.806000; 0.00; 0.00; 0.00
21252861.473000; 0.00; 0.00; 0.00
21269790.389000; 0.00; 0.00; 0.00
21284618.256001; 0.00; 0.00; 0.00
21301561.539000; 0.00; 0.00; 0.00
21318512.907000; 0.00; 0.00; 0.00
21335452.612999; 0.00; 0.00; 0.00
21349214.517000; 0.00; 0.00; 0.00
21366140.948000; 0.00; 0.00; 0.00
21383080.223000; 0.00; 0.00; 0.00
21396999.082001; 0.00; 0.00; 0.00
21413946.501999; 0.00; 0.00; 0.00
21428765.332001; 0.00; 0.00; 0.00
21445684.590000; 0.00; 0.00; 0.00
21462613.865999; 0.00; 0.00; 0.00
21477443.816999; 0.00; 0.00; 0.00
21494420.893000; 0.00; 0.00; 0.00
21509350.411999; 0.00; 0.00; 0.00
21526395.466000; 0.00; 0.00; 0.00
21540892.471001; 0.00; 0.00; 0.00
21557877.171000; 0.00; 0.00; 0.00
21574802.651001; 0.00; 0.00; 0.00
21590734.162001; 0.00; 0.00; 0.00
21605140.707001; 0.00; 0.00; 0.00
21622084.219999; 0.00; 0.00; 0.00
21639040.567999; 0.00; 0.00; 0.00
21652890.546999; 0.00; 0.00; 0.00
21669852.103998; 0.00; 0.00; 0.00
21687231.156000; 0.00; 0.00; 0.00
21701040.868999; 0.00; 0.00; 0.00
21717981.626999; 0.00; 0.00; 0.00
21732646.507999; 0.00; 0.00; 0.00
21749625.348000; 0.00; 0.00; 0.00
21766564.673000; 0.00; 0.00; 0.00
21781062.248999; 0.00; 0.00; 0.00
21798031.821001; 0.00; 0.00; 0.00
21812573.450001; 0.00; 0.00; 0.00
21829509.600000; 0.00; 0.00; 0.00
21846600.320000; 0.00; 0.00; 0.00
21860751.244001; 0.00; 0.00; 0.00
21877680.570999; 0.00; 0.00; 0.00
21894619.464998; 0.00; 0.00; 0.00
21909415.502998; 0.00; 0.00; 0.00
21926761.783001; 0.00; 0.00; 0.00
21940624.426001; 0.00; 0.00; 0.00
21957572.798000; 0.00; 0.00; 0.00
21974502.745998; 0.00; 0.00; 0.00
21989029.035999; 0.00; 0.00; 0.00
22005970.025000; 0.00; 0.00; 0.00
22022913.396999; 0.00; 0.00; 0.00
22036828.438999; 0.00; 0.00; 0.00
22053731.596001; 0.00; 0.00; 0.00
22070675.881001; 0.00; 0.00; 0.00
22084790.778000; 0.00; 0.00; 0.00
22101791.479000; 0.00; 0.00; 0.00
22116610.048000; 0.00; 0.00; 0.00
22133564.441999; 0.00; 0.00; 0.00
22150499.198999; 0.00; 0.00; 0.00
22165331.264000; 0.00; 0.00; 0.00
22182271.029999; 0.00; 0.00; 0.00
22199216.597000; 0.00; 0.00; 0.00
22213014.247999; 0.00; 0.00; 0.00
22229957.570999; 0.00; 0.00; 0.00
22244790.247000; 0.00; 0.00; 0.00
22261740.622999; 0.00; 0.00; 0.00
22278754.709000; 0.00; 0.00; 0.00
22293341.341999; 0.00; 0.00; 0.00
22310271.170000; 0.00; 0.00; 0.00
22327220.424000; 0.00; 0.00; 0.00
22340999.408998; 0.00; 0.00; 0.00
22357908.288000; 0.00; 0.00; 0.00
22372645.734999; 0.00; 0.00; 0.00
22389581.352999; 0.00; 0.00; 0.00
22406508.586000; 0.00; 0.00; 0.00
22420858.875000; 0.00; 0.00; 0.00
22437828.648001; 0.00; 0.00; 0.00
22454801.785999; 0.00; 0.00; 0.00
22468569.020000; 0.00; 0.00; 0.00
22485533.142000; 0.00; 0.00; 0.00
22501471.365999; 0.00; 0.00; 0.00
22518387.598000; 0.00; 0.00; 0.00
22532994.490000; 0.00; 0.00; 0.00
22549995.610998; 0.00; 0.00; 0.00
22566897.375999; 0.00; 0.00; 0.00
22581409.570000; 0.00; 0.00; 0.00
22597456.407999; 0.00; 0.00; 0.00
22614405.841999; 0.01; 0.00; 0.00
22629147.446999; 0.01; 0.00; 0.00
22646746.742001; 0.02; 0.00; 0.00
22661379.191999; 0.02; 0.00; 0.00
22678328.486000; 0.03; 0.00; 0.00
22695316.593000; 0.03; 0.00; 0.00
22709326.764000; 0.03; 0.00; 0.00
22726273.532999; 0.04; 0.00; 0.00
22743212.016998; 0.04; 0.00; 0.00
22757008.325001; 0.05; 0.00; 0.00
22774634.371000; 0.05; 0.00; 0.00
22788529.335001; 0.05; 0.00; 0.00
22805443.032000; 0.06; 0.00; 0.00
22822394.910999; 0.06; 0.00; 0.00
22836953.911999; 0.07; 0.00; 0.00
22853905.660999; 0.07; 0.00; 0.00
22870862.299000; 0.08; 0.00; 0.00
22885396.032999; 0.08; 0.00; 0.00
22902336.640999; 0.08; 0.00; 0.00
22916983.497999; 0.09; 0.00; 0.00
22933915.168999; 0.09; 0.00; 0.00
22948602.892000; 0.10; 0.00; 0.00
22965564.149000; 0.10; 0.00; 0.00
22982495.419001; 0.11; 0.00; 0.00
22997024.104000; 0.11; 0.00; 0.00
23013944.413000; 0.11; 0.00; 0.00
23028543.992001; 0.12; 0.00; 0.00
23045546.835999; 0.12; 0.00; 0.00
23062593.612999; 0.13; 0.00; 0.00
23077005.028000; 0.13; 0.00; 0.00
23093987.493999; 0.14; 0.00; 0.00
23110903.886000; 0.14; 0.00; 0.00
23125305.382000; 0.14; 0.00; 0.00
23142221.904999; 0.15; 0.00; 0.00
23156973.257999; 0.15; 0.00; 0.00
23174797.216000; 0.16; 0.00; 0.00
23188792.388000; 0.16; 0.00; 0.00
23205731.692999; 0.16; 0.00; 0.00
23222672.891998; 0.17; 0.00; 0.00
23237261.629999; 0.17; 0.00; 0.00
23254208.468998; 0.18; 0.00; 0.00
23271140.611000; 0.18; 0.00; 0.00
23285351.098000; 0.19; 0.00; 0.00
23302283.700001; 0.19; 0.00; 0.00
23316896.342999; 0.19; 0.00; 0.00
23334444.252001; 0.20; 0.00; 0.00
23349005.207001; 0.20; 0.00; 0.00
23365971.643999; 0.21; 0.00; 0.00
23380610.365000; 0.21; 0.00; 0.00
23397556.372999; 0.22; 0.00; 0.00
23414508.421999; 0.22; 0.00; 0.00
23429232.955000; 0.22; 0.00; 0.00
23446140.370001; 0.23; 0.00; 0.00
23460638.046999; 0.23; 0.00; 0.00
23477565.941000; 0.24; 0.00; 0.00
23494499.845999; 0.24; 0.00; 0.00
23511460.812000; 0.25; 0.00; 0.00
23525210.342001; 0.25; 0.00; 0.00
23542138.066000; 0.25; 0.00; 0.00
23559079.375000; 0.26; 0.00; 0.00
23572853.091000; 0.26; 0.00; 0.00
23589138.507000; 0.27; 0.00; 0.00
23606079.334999; 0.27; 0.00; 0.00
23620738.495001; 0.27; 0.00; 0.00
23637670.387001; 0.28; 0.00; 0.00
23654618.939001; 0.28; 0.00; 0.00
23669248.313000; 0.29; 0.00; 0.00
23686209.229000; 0.29; 0.00; 0.00
23700917.351000; 0.30; 0.00; 0.00
23717848.772001; 0.30; 0.00; 0.00
23732617.126999; 0.30; 0.00; 0.00
23749560.759998; 0.31; 0.00; 0.00
23766505.115000; 0.31; 0.00; 0.00
23781262.650000; 0.32; 0.00; 0.00
23798236.049000; 0.32; 0.00; 0.00
23812792.316000; 0.33; 0.00; 0.00
23830015.084000; 0.33; 0.00; 0.00
23847246.407999; 0.33; 0.00; 0.00
23861020.725000; 0.34; 0.00; 0.00
23877973.926001; 0.34; 0.00; 0.00
23892679.783998; 0.35; 0.00; 0.00
23909613.588999; 0.35; 0.00; 0.00
23926559.978001; 0.36; 0.00; 0.00
23941141.171000; 0.36; 0.00; 0.00
23958148.363998; 0.36; 0.00; 0.00
23972821.309999; 0.37; 0.00; 0.00
23989730.348000; 0.37; 0.00; 0.00
24006697.375999; 0.38; 0.00; 0.00
24021347.358000; 0.38; 0.00; 0.00
24038284.209000; 0.38; 0.00; 0.00
24052976.410999; 0.39; 0.00; 0.00
24068865.933001; 0.39; 0.00; 0.00
24085862.957001; 0.40; 0.00; 0.00
24100490.007000; 0.40; 0.00; 0.00
24117436.334999; 0.41; 0.00; 0.00
24134381.732000; 0.41; 0.00; 0.00
24149047.014000; 0.41; 0.00; 0.00
24165961.792999; 0.42; 0.00; 0.00
24180516.146000; 0.42; 0.00; 0.00
24197445.953001; 0.43; 0.00; 0.00
24214385.048000; 0.43; 0.00; 0.00
24228888.495001; 0.43; 0.00; 0.00
24245783.447001; 0.44; 0.00; 0.00
24262734.514999; 0.44; 0.00; 0.00
24276658.813999; 0.45; 0.00; 0.00
24293558.153999; 0.45; 0.00; 0.00
24310498.471001; 0.46; 0.00; 0.00
24324576.048000; 0.46; 0.00; 0.00
24341505.986000; 0.46; 0.00; 0.00
24358447.004000; 0.47; 0.00; 0.00
24373057.261999; 0.47; 0.00; 0.00
24389971.509998; 0.48; 0.00; 0.00
24404755.275000; 0.48; 0.00; 0.00
24421847.457001; 0.49; 0.00; 0.00
24438788.486000; 0.49; 0.00; 0.00
24453345.403000; 0.49; 0.00; 0.00
24470264.160000; 0.50; 0.00; 0.00
24485008.290001; 0.50; 0.00; 0.00
24501986.518000; 0.51; 0.00; 0.00
24518917.548000; 0.51; 0.00; 0.00
24532697.755999; 0.52; 0.00; 0.00
24549619.698999; 0.52; 0.00; 0.00
24566558.712999; 0.52; 0.00; 0.00
24581066.257999; 0.53; 0.00; 0.00
24597466.970999; 0.53; 0.00; 0.00
24614438.757999; 0.54; 0.00; 0.00
24628870.270000; 0.54; 0.00; 0.00
24645831.987000; 0.55; 0.00; 0.00
24662788.955999; 0.55; 0.00; 0.00
24677056.620001; 0.55; 0.00; 0.00
24693961.550999; 0.56; 0.00; 0.00
24710904.271999; 0.56; 0.00; 0.00
24725275.120998; 0.57; 0.00; 0.00
24742267.685999; 0.57; 0.00; 0.00
24756633.674999; 0.57; 0.00; 0.00
24773555.015999; 0.58; 0.00; 0.00
24790498.840000; 0.58; 0.00; 0.00
24804579.273001; 0.59; 0.00; 0.00
24821493.461000; 0.59; 0.00; 0.00
24838440.970999; 0.60; 0.00; 0.00
24853066.367998; 0.60; 0.00; 0.00
24870017.375000; 0.60; 0.00; 0.00
24886966.910000; 0.61; 0.00; 0.00
24900736.929001; 0.61; 0.00; 0.00
24917679.299999; 0.62; 0.00; 0.00
24934614.527000; 0.62; 0.00; 0.00
24949140.377001; 0.63; 0.00; 0.00
24966079.220999; 0.63; 0.00; 0.00
24980726.709000; 0.63; 0.00; 0.00
24997675.652998; 0.64; 0.00; 0.00
25014614.437000; 0.64; 0.00; 0.00
25029194.558001; 0.65; 0.00; 0.00
25046138.292000; 0.65; 0.00; 0.00
25060562.490000; 0.65; 0.00; 0.00
25077534.797998; 0.66; 0.00; 0.00
25094446.401001; 0.66; 0.00; 0.00
25111390.084000; 0.67; 0.00; 0.00
25126009.699999; 0.67; 0.00; 0.00
25140682.295000; 0.68; 0.00; 0.00
25157625.628000; 0.68; 0.00; 0.00
25174552.650000; 0.68; 0.00; 0.00
25191492.957001; 0.69; 0.00; 0.00
25205337.626999; 0.69; 0.00; 0.00
25222274.247000; 0.70; 0.00; 0.00
25236885.927999; 0.70; 0.00; 0.00
25253857.202999; 0.71; 0.00; 0.00
25270786.528999; 0.71; 0.00; 0.00
25285285.057999; 0.71; 0.00; 0.00
25302214.414000; 0.72; 0.00; 0.00
25319447.532000; 0.72; 0.00; 0.00
25333211.309000; 0.73; 0.00; 0.00
25350136.927999; 0.73; 0.00; 0.00
25367079.519999; 0.74; 0.00; 0.00
25380848.907999; 0.74; 0.00; 0.00
25397785.418001; 0.74; 0.00; 0.00
25414725.824999; 0.75; 0.00; 0.00
25429081.053999; 0.75; 0.00; 0.00
25446027.521999; 0.76; 0.00; 0.00
25460616.821001; 0.76; 0.00; 0.00
25477577.636999; 0.76; 0.00; 0.00
25494493.768999; 0.77; 0.00; 0.00
25508571.535999; 0.77; 0.00; 0.00
25525986.404999; 0.78; 0.00; 0.00
25542907.466000; 0.78; 0.00; 0.00
25556670.983000; 0.79; 0.00; 0.00
25573612.411999; 0.79; 0.00; 0.00
25589565.414000; 0.79; 0.00; 0.59
25606511.782000; 0.80; 0.00; 1.52
25623442.752001; 0.80; 0.00; 2.45
25637325.602999; 0.80; 0.00; 3.22
25654271.950998; 0.81; 0.00; 4.15
25669523.554998; 0.81; 0.00; 4.99
25686501.432001; 0.81; 0.00; 5.92
25701268.926001; 0.82; 0.00; 6.74
25718226.424999; 0.82; 0.00; 7.67
25733050.275000; 0.83; 0.00; 8.49
25749972.448000; 0.83; 0.00; 9.42
25766927.231998; 0.83; 0.00; 10.35
25780773.084000; 0.84; 0.00; 11.12
25797928.485001; 0.84; 0.00; 12.06
25812618.823999; 0.84; 0.01; 12.87
25829557.438000; 0.85; 0.01; 13.80
25846496.252001; 0.85; 0.01; 14.74
25860971.987000; 0.85; 0.01; 15.53
25878171.190998; 0.86; 0.01; 16.47
25892957.559999; 0.86; 0.01; 17.29
25909880.684999; 0.86; 0.01; 18.23
25926798.910999; 0.87; 0.01; 19.16
25941397.907999; 0.87; 0.01; 19.96
25958322.365000; 0.87; 0.01; 20.89
25975273.612999; 0.88; 0.02; 21.83
25989210.615999; 0.88; 0.02; 22.59
26006137.216999; 0.88; 0.02; 23.53
26020814.360998; 0.89; 0.02; 24.34
26037747.214001; 0.89; 0.02; 25.27
26054680.348000; 0.89; 0.02; 26.20
26069343.865999; 0.90; 0.02; 27.01
26086273.582998; 0.90; 0.03; 27.94
26100870.094999; 0.90; 0.03; 28.74
26117790.584999; 0.90; 0.03; 29.68
26132471.226000; 0.91; 0.03; 30.48
26149556.275000; 0.91; 0.03; 31.42
26166516.149000; 0.91; 0.04; 32.36
26181268.684000; 0.92; 0.04; 33.17
26198201.907999; 0.92; 0.04; 34.10
26212825.812000; 0.92; 0.04; 34.91
26229819.649000; 0.93; 0.04; 35.84
26244858.473000; 0.93; 0.05; 36.67
26261859.785000; 0.93; 0.05; 37.61
26278846.229000; 0.93; 0.05; 38.54
26292622.049000; 0.94; 0.05; 39.30
26309561.194000; 0.94; 0.05; 40.24
26326706.436001; 0.94; 0.06; 41.18
26341248.685999; 0.94; 0.06; 41.98
26358225.250999; 0.95; 0.06; 42.92
26373143.768999; 0.95; 0.06; 43.73
26390226.063000; 0.95; 0.07; 44.68
26405091.721001; 0.95; 0.07; 45.50
26422067.465000; 0.96; 0.07; 46.43
26439037.727999; 0.96; 0.07; 47.37
26452798.719999; 0.96; 0.08; 48.12
26469731.122000; 0.96; 0.08; 49.06
26486684.875000; 0.97; 0.08; 49.99
26501443.111000; 0.97; 0.08; 50.80
26518525.395000; 0.97; 0.09; 51.74
26533142.586000; 0.97; 0.09; 52.55
26550079.537001; 0.98; 0.09; 53.48
26567032.277000; 0.98; 0.10; 54.41
26580939.323999; 0.98; 0.10; 55.18
26597414.657000; 0.98; 0.10; 55.75
26614401.582001; 0.98; 0.10; 56.35
26628921.691000; 0.98; 0.10; 56.85
