t; x; y; theta
5314703.334000; 0.00; 0.00; 0.00
5330335.349000; 0.00; 0.00; 0.00
5346335.427000; 0.00; 0.00; 0.00
5362711.880000; 0.00; 0.00; 0.00
5378513.679000; 0.00; 0.00; 0.00
5396408.691000; 0.00; 0.00; 0.00
5411942.159000; 0.00; 0.00; 0.00
5427537.368000; 0.00; 0.00; 0.00
5443409.217000; 0.00; 0.00; 0.00
5459021.048000; 0.00; 0.00; 0.00
5474966.510000; 0.00; 0.00; 0.00
5490736.252000; 0.00; 0.00; 0.00
5506251.911000; 0.00; 0.00; 0.00
5522387.342000; 0.00; 0.00; 0.00
5538660.499000; 0.00; 0.00; 0.00
5553743.981000; 0.00; 0.00; 0.00
5569928.091000; 0.00; 0.00; 0.00
5587482.347000; 0.00; 0.00; 0.00
5602141.961000; 0.00; 0.00; 0.00
5617563.824000; 0.00; 0.00; 0.00
5635630.994000; 0.00; 0.00; 0.00
5650148.133000; 0.00; 0.00; 0.00
5668128.630000; 0.00; 0.00; 0.00
5682591.153000; 0.00; 0.00; 0.00
5697937.028000; 0.00; 0.00; 0.00
5716596.662000; 0.00; 0.00; 0.00
5731351.260000; 0.00; 0.00; 0.00
5746704.259000; 0.00; 0.00; 0.00
5762484.686000; 0.00; 0.00; 0.00
5778106.015000; 0.00; 0.00; 0.00
5795909.605000; 0.00; 0.00; 0.00
5810388.750000; 0.00; 0.00; 0.00
5826147.806000; 0.00; 0.00; 0.00
5842008.970000; 0.00; 0.00; 0.00
5857658.794000; 0.00; 0.00; 0.00
5875804.326000; 0.00; 0.00; 0.00
5890751.268000; 0.00; 0.00; 0.00
5906150.571000; 0.00; 0.00; 0.00
5923741.634000; 0.00; 0.00; 0.00
5938349.007000; 0.00; 0.00; 0.00
5953832.609000; 0.00; 0.00; 0.00
5971715.748000; 0.00; 0.00; 0.00
5987522.296000; 0.00; 0.00; 0.00
6003497.441000; 0.00; 0.00; 0.00
6019416.783000; 0.00; 0.00; 0.00
